domain,has_mx
126.com,True
163.com,True
21cn.com,True
accountant.com,True
adelphia.net,True
aim.com,True
aliceadsl.fr,True
alive.it,True
aliyun.com,True
ameritech.net,True
aol.co.uk,True
aol.com,True
aol.de,True
aol.fr,True
aol.it,True
aol.jp,True
aon.at,True
arcor.de,True
arnet.com.ar,True
asia.com,True
att.net,True
austin.rr.com,True
bak.rr.com,True
bell.net,True
bellsouth.net,True
berkshire.rr.com,True
bham.rr.com,True
bigpond.com,True
bigpond.net.au,True
bizec.rr.com,True
bizwi.rr.com,True
bk.ru,True
bluewin.ch,True
blueyonder.co.uk,True
bol.com.br,True
bresnan.net,True
brighthouse.com,True
bt.com,True
btinternet.com,True
ca.rr.com,True
carolina.rr.com,True
centurytel.net,True
cfl.rr.com,True
charter.net,True
cheerful.com,True
chello.nl,True
cinci.rr.com,True
club-internet.fr,True
columbus.rr.com,True
comcast.net,True
consultant.com,True
contractor.net,True
cox.net,True
daum.net,True
dc.rr.com,True
dr.com,True
earthlink.net,True
ec.rr.com,True
elmore.rr.com,True
elp.rr.com,True
email.com,True
email.msn.com,True
email.it,True
emore.rr.com,False
engineer.com,True
eufala.rr.com,False
eufaula.rr.com,True
europe.com,True
facebook.com,True
fastmail.com,True
fastmail.fm,True
fibertel.com.ar,True
financier.com,True
foxmail.com,True
free.fr,True
freenet.de,True
frontier.com,True
frontiernet.net,True
games.com,True
globo.com,False
globomail.com,False
gmail.com,True
gmx.at,True
gmx.ch,True
gmx.co.uk,True
gmx.com,True
gmx.de,True
gmx.fr,True
gmx.li,True
gmx.net,True
gmx.us,True
googlemail.com,True
gt.rr.com,True
hanmail.net,True
hawaii.rr.com,True
hetnet.nl,True
home.nl,True
hot.rr.com,True
hotmail.be,True
hotmail.ca,True
hotmail.co.uk,True
hotmail.com,True
hotmail.com.ar,True
hotmail.com.br,True
hotmail.com.mx,True
hotmail.de,True
hotmail.es,True
hotmail.fr,True
hotmail.it,True
hush.com,True
hushmail.com,True
hvc.rr.com,True
icloud.com,True
ig.com.br,True
iname.com,True
inbox.com,True
inbox.ru,True
indy.rr.com,True
insight.rr.com,True
juno.com,True
kc.rr.com,True
keemail.me,True
laposte.net,True
lavabit.com,True
libero.it,True
linuxmail.org,True
list.ru,True
live.be,True
live.ca,True
live.co.uk,True
live.com,True
live.com.ar,True
live.com.au,True
live.com.mx,True
live.de,True
live.fr,True
live.it,True
live.nl,True
luckymail.com,True
love.com,True
ma.rr.com,True
mac.com,True
mail.com,True
mail.ru,True
mailfence.com,True
maine.rr.com,True
mass.rr.com,True
me.com,True
mi.rr.com,True
msn.com,True
musician.org,True
myself.com,True
myyahoo.com,True
nate.com,True
naver.com,True
nc.rr.com,True
ne.rr.com,True
neb.rr.com,True
neo.rr.com,True
netscape.com,True
netscape.net,True
netzero.com,True
neuf.fr,True
new.rr.com,True
nj.rr.com,True
ntlworld.com,True
nyc.rr.com,True
nycap.rr.com,True
oh.rr.com,True
oi.com.br,True
onmail.com,True
onmail.de,False
optonline.net,True
optusnet.com.au,True
orange.fr,True
orange.net,True
outlook.com,True
outlook.com.br,True
pa.rr.com,True
panhandle.rr.com,True
planet.nl,True
pm.me,True
pobox.com,True
post.com,True
poste.it,True
postmaster.rr.com,True
prodigy.net.mx,True
proton.me,True
protonmail.ch,True
protonmail.com,True
qq.com,True
r7.com,True
rambler.ru,True
rediffmail.com,True
rgv.rr.com,True
roadrunner.com,True
rochester.rr.com,True
rocketmail.com,True
rogers.com,True
rr.com,True
safe-mail.net,False
san.rr.com,True
satx.rr.com,True
sbcglobal.net,True
sc.rr.com,True
sfr.fr,True
shaw.ca,True
si.rr.com,True
sina.cn,True
sina.com,True
sky.com,True
skynet.be,True
socal.rr.com,True
speedy.com.ar,True
stny.rr.com,True
stx.rr.com,True
sympatico.ca,True
sw.rr.com,True
sympatico.ca,True
t-online.de,True
talktalk.co.uk,True
tampabay.rr.com,True
techie.com,True
telenet.be,True
teletu.it,False
terra.com.br,True
tin.it,True
tiscali.co.uk,True
tiscali.it,True
triad.rr.com,True
tuta.io,True
tutamail.com,True
tutanota.com,True
tutanota.de,True
tvcablenet.be,True
twc.com,True
twcny.rr.com,True
twmi.rr.com,True
tx.rr.com,True
uol.com.br,True
usa.com,True
verizon.net,True
virgilio.it,True
virgin.net,True
virginmedia.com,True
voila.fr,True
voo.be,True
wanadoo.fr,True
web.de,True
wi.rr.com,True
windstream.net,True
woh.rr.com,True
workmail.com,True
wow.com,True
writeme.com,True
ya.ru,True
yahoo.ca,True
yahoo.co.id,True
yahoo.co.in,True
yahoo.co.jp,True
yahoo.co.kr,True
yahoo.co.uk,True
yahoo.com,True
yahoo.com.ar,True
yahoo.com.au,True
yahoo.com.br,True
yahoo.com.in,False
yahoo.com.mx,True
yahoo.com.ph,True
yahoo.com.sg,True
yahoo.de,True
yahoo.es,True
yahoo.fr,True
yahoo.in,True
yahoo.it,True
yandex.by,True
yandex.com,True
yandex.kz,True
yandex.ru,True
yandex.ua,False
yeah.net,True
ygm.com,True
ymail.com,True
zipmail.com.br,True
zoho.com,True
zohomail.com,True
zonnet.nl,True
